Name,Party,State,Birth_Year,Children_Count,Race,Gender,V1,V2,V3,V4,AIPAC,CongressDistrict,PVI,JewishPop,AIPAC_norm,Age_2024,CD_CODE,V1_pro-Israel,V1_pro-Palestine,V2_pro-Israel,V2_pro-Palestine,V3_pro-Israel,V3_pro-Palestine,V4_pro-Israel,V4_pro-Palestine,CD_ID,Own_Israel_V1,Own_Palestine_V1,Neighbor_Israel_V1,Neighbor_Palestine_V1,Region_Israel_V1,Region_Palestine_V1,Own_Israel_V2,Own_Palestine_V2,Neighbor_Israel_V2,Neighbor_Palestine_V2,Region_Israel_V2,Region_Palestine_V2,Own_Israel_V3,Own_Palestine_V3,Neighbor_Israel_V3,Neighbor_Palestine_V3,Region_Israel_V3,Region_Palestine_V3,Own_Israel_V4,Own_Palestine_V4,Neighbor_Israel_V4,Neighbor_Palestine_V4,Region_Israel_V4,Region_Palestine_V4,CD_Total_Students,CD_Men,CD_Women,CD_White,CD_Black,CD_Hispanic,CD_Asian,CD_NativeAm,CD_Pacific,CD_Multi,CD_Intl,Neighbor_Students,Stance_UpTo_V1,Stance_UpTo_V2,Stance_UpTo_V3,Average_Stance_Israel
Jerry Carl,Rep,Alabama,1958,2,White,Male,1,1,1,1,39149,AL-01,0.1647,0.003,-0.5291907196211975,66,AL-01,0,0,0,1,0,3,0,6,AL-01,0,0,2,4,2,4,0,1,4,21,4,22,0,3,11,46,11,49,0,6,13,71,13,77,36988,18813,18175,21927,7941,1434,749,339,137,1581,99,203943,0.8333333333333334,0.7,0.7,0.7
Barry Moore,Rep,Alabama,1966,4,White,Male,1,1,1,1,13400,AL-02,0.1732,0.004,-0.6259312349804085,58,AL-02,0,0,0,0,0,0,0,0,AL-02,0,0,8,10,8,10,0,0,12,32,12,32,0,0,19,44,19,44,0,0,22,56,22,56,55503,20148,35355,22844,22862,2359,1049,233,65,2146,2458,355766,0.8571428571428571,0.7692307692307693,0.7692307692307693,0.7692307692307693
Mike Rogers,Rep,Alabama,1958,3,White,Male,1,1,1,1,549099,AL-03,0.1936,0.001,1.38672158017412,66,AL-03,0,0,0,0,0,1,0,1,AL-03,0,0,2,0,2,0,1,1,2,0,3,1,1,2,2,1,3,3,1,2,2,1,3,3,57134,26163,30971,41371,6585,2901,1207,155,52,2073,2230,219427,NA,NA,NA,NA
Robert Aderholt,Rep,Alabama,1965,2,White,Male,1,1,1,1,137952,AL-04,0.3324,0.001,-0.1579820070872692,59,AL-04,0,0,0,0,0,0,0,0,AL-04,0,0,6,7,6,7,0,0,10,21,10,21,0,0,25,65,25,65,0,0,29,82,29,82,33448,12918,20530,23044,4427,2674,732,167,25,1440,547,351957,0.75,0.6,0.5714285714285714,0.5714285714285714
Dale Strong,Rep,Alabama,1970,2,White,Male,1,1,1,1,44224,AL-05,0.1667,0.003,-0.5101236445717588,54,AL-05,0,1,0,1,0,5,0,5,AL-05,0,1,5,4,5,5,0,1,7,14,7,15,0,5,15,52,15,57,0,5,17,70,17,75,33932,15191,18741,16377,10820,2709,660,199,33,1618,616,149848,0.6666666666666666,0.8333333333333334,0.7142857142857143,0.7142857142857143
Gary Palmer,Rep,Alabama,1954,3,White,Male,1,1,1,1,96020,AL-06,0.1839,0.007,-0.3155230102346704,70,AL-06,0,0,0,0,0,0,0,0,AL-06,0,0,0,1,0,1,0,0,2,4,2,4,0,0,9,6,9,6,0,0,11,7,11,7,19634,7512,12122,12861,3509,1337,326,53,11,545,307,224859,0.5,0.6666666666666666,0.75,0.75
Terri Sewell,Dem,Alabama,1965,0,Black,Female,0,0,1,0,103800,AL-07,-0.1411,0.005,-0.2862930902574029,59,AL-07,0,1,1,3,8,4,10,5,AL-07,0,1,1,1,1,2,1,3,1,11,2,14,8,4,1,34,9,38,10,5,2,59,12,64,78774,30729,48045,43466,19771,4798,2433,240,59,2801,3239,271963,NA,NA,NA,NA
Mary Peltola,Dem,Alaska,1973,7,Native American,Male,0,1,1,1,79222,AK-AL,0.0802,0.009,-0.3786340893835315,51,AK-00,1,2,1,12,1,15,1,16,AK-AL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amata Coleman Radewagen,Rep,American Samoa,1947,3,White,Male,NA,NA,NA,NA,NA,AS-NA,NA,NA,NA,77,AS-NA,0,0,0,0,0,0,0,0,AS-NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
David Schweikert,Rep,Arizona,1962,2,White,Male,1,1,1,1,259027,AZ-01,0.0201,0.085,0.2969039262350527,62,AZ-01,2,0,2,7,6,43,12,62,AZ-01,2,0,10,7,12,7,2,7,27,66,29,73,6,43,39,147,45,190,12,62,55,220,67,282,88596,32488,56108,43075,6920,21113,4440,1172,302,4141,569,487402,0.875,0.8333333333333334,0.8333333333333334,0.8333333333333334
Eli Crane,Rep,Arizona,1980,2,White,Male,1,0,0,1,500,AZ-02,0.0635,0.007,-0.6743972976676516,44,AZ-02,5,0,5,1,7,5,10,9,AZ-02,5,0,15,176,20,176,5,1,37,345,42,346,7,5,52,539,59,544,10,9,75,686,85,695,52233,21088,31145,24987,1421,12614,1652,4275,136,2401,1532,883155,0.5,0.2857142857142857,0.2,0.2
