tweetText,stance_israel,authorUsername
The humanitarian crisis in Gaza is dire and getting worse everyday. This is welcome news to start getting more aid to Palestinians who desperately need it.,0,@SenBobCasey
"The only way to protect our communities from the very real risks brought on by our open borders - human trafficking, drugs, terrorism - is to cooperate with the agencies equipped to enforce immigration laws.

I'm appalled anyone in MN would want to prohibit that cooperation.",0,@RepFischbach
"The Biden Admin asked the Supreme Court to allow Border Patrol agents to cut Texas’ razor wire at the border.

Instead of going to war against fentanyl smuggling, human trafficking, & terrorists, this admin chooses to attack Texas for protecting Americans.",0,@RepEliCrane
"Under Sec. Mayorkas’ tenure, over 7 million illegal immigrants have crossed the border, along with an untold number who have evaded CBP detection including known terrorists, drug smugglers & human traffickers. Tonight the House voted to hold Sec. Mayorkas accountable.",0,@congbillposey
"Today, we celebrate the first annual National Hostage and Wrongful Detainee Day, where we honor American hostages and those detained on trumped-up charges around the world, as well as the families who suffer in their absence.",0,@ChrisCoons
"Happy #Hanukkah to our Jewish communities in the #SouthSound and across the nation. May the holiday season bring you strength, light, and joy.",0,@RepStricklandWA
"Today marks twenty-two years since the September 11th terrorist attacks on our nation. Like so many Americans, the images and pain of that horrific day are forever seared into my memory. 

We will never forget the 2,977 lives cruelly cut short by these acts of cowardice.",0,@RepAnnWagner
"U.S. citizens seeking to be in touch with the U.S. Embassy in Israel, call 1-833-890-9595 (toll free) and 606-641-0131 (local) or click this link to complete the crisis intake form. https://cacms.state.gov/s/crisis-intake",0,@usembassyjlm
"I'm horrified by the recent rise in violence in the West Bank, and condemn in the strongest possible terms the deadly Palestinian terrorism as well as the increasing frequency and intensity of attacks by Israeli settlers on Palestinian civilians.",-1,@janschakowsky
"Six years after Parkland, Republican extremists still perversely define 'freedom' as unfettered access to weapons of war.
 
There was no freedom for the students and staff murdered that day.
 
There is no freedom in violence and terror and death.",0,@WhipKClark
Omer Wenkert has been missing since the October 7th attack in Israel. Omer’s father shared recently that his son has a medical condition that is dire if not treated. #BringThemHome,1,@SenatorRicketts
"I joined 
@newdemcoalition
 in urging congressional leaders to bring the funding package to provide security assistance to Israel, Ukraine, and Taiwan, as well as humanitarian aid to civilians in Gaza and funding for our border communities up for a vote.",0,@RepColinAllred
"If Biden really wants to help Israel, he should stop helping Iran.",1,@repdarrellissa
" 
@RepBobGood
: The invasion of the U.S. southern border could result in a Hamas-like situation.

SHUT DOWN THE BORDER or SHUT DOWN THE GOVERNMENT!",0,@amrenewcitizen
"It’s unimaginable to me why UN Women (United Nations) have called for a ceasefire in Gaza but haven’t condemned Hamas’ sexual violence against Israeli women.
 
Hearing the countless first-person accounts of rape and abuse is far from easy -- but condemning Hamas’ Oct. 7 attack…",1,@RepJohnRose
Press Conference with families of Americans held by Hamas,1,@RepMikeLawler
Incredible leadership from our ally Germany. Israel's security as a sovereign nation and the homeland of the Jewish people is imperative.,1,@repkevinhern
"Despite calls from some far-Left radicals in Congress, the United States will always stand with Israel. 
@FoxNews
 
@kilmeade",1,@SenMullin
"After visiting with President Sisi, I am very hopeful that Egypt will play an even greater role in enabling more assistance—fuel, water, electricity—to reach the people of Gaza who are suffering so desperately right now. 10/",0,@SenBlumenthal
"Thank you 
@CNN
 for having me on to discuss the race for Speaker of the House and the situation unfolding in Israel. 

We will come out of this with a leader that has a clear vision for the party.",1,@RepTimBurchett
"I was supposed to be in Israel this past week for a conference to talk about the Abraham Accords, celebrating the beautiful idea that Jews and Arabs belong to the land and that by embracing each other, Jews and Arabs can live together in peace.",1,@RepSchneider
"Rep. Cory Mills (R-Fla.) is in Israel to aid Americans in escaping the country, which has been ravaged by fighting over the last few days. https://trib.al/jw8LWk9",0,@thehill
"Netanyahu use of “river to sea” not politic or helpful to the turmoil or to Israel’s friends.Elections in Israel can’t come too soon. 
Like Trump the need to avoid jail rather than proper long time policy drive Netanyahu. They work their base and hunger down. 
Free the hostages!",-1,@RepCohen
